1;23;0.2899;0.3778
2;21;0.3887;0.4404
3;22;0.4300;0.4590
4;21;0.4664;0.4876
5;22;0.4901;0.5174
6;23;0.5111;0.5250
7;23;0.5351;0.5614
8;23;0.5486;0.5820
9;22;0.5627;0.5908
10;22;0.5755;0.6148
11;22;0.5938;0.6272
12;22;0.6019;0.6198
13;22;0.6102;0.6288
14;22;0.6240;0.6496
15;22;0.6308;0.6564
16;21;0.6438;0.6832
17;21;0.6494;0.6606
18;20;0.6618;0.6794
19;21;0.6692;0.6876
20;21;0.6735;0.7126
21;21;0.6859;0.6996
22;21;0.6936;0.7118
23;21;0.7020;0.7146
24;21;0.7095;0.7342
25;21;0.7212;0.7482
26;21;0.7266;0.7590
27;21;0.7367;0.7524
28;21;0.7436;0.7660
29;21;0.7490;0.7790
30;21;0.7604;0.7924
31;21;0.7641;0.7990
32;21;0.7776;0.7890
33;21;0.7840;0.8084
34;21;0.7844;0.8024
35;22;0.7970;0.8278
36;22;0.8062;0.8444
37;21;0.8100;0.8294
38;21;0.8179;0.8348
39;21;0.8251;0.8540
40;21;0.8383;0.8576
41;21;0.8354;0.8714
42;21;0.8480;0.8796
43;21;0.8515;0.8694
44;21;0.8632;0.8918
45;22;0.8599;0.8722
46;21;0.8736;0.8892
47;21;0.8822;0.8984
48;22;0.8828;0.9028
49;22;0.8921;0.8986
50;22;0.8930;0.9042
51;22;0.8982;0.9226
52;22;0.9030;0.9050
53;22;0.9093;0.9108
54;22;0.9075;0.9224
55;22;0.9123;0.9244
56;22;0.9218;0.9314
57;22;0.9160;0.9422
58;22;0.9254;0.9420
59;22;0.9299;0.9376
60;22;0.9293;0.9320
61;22;0.9321;0.9604
62;21;0.9393;0.9426
63;21;0.9433;0.9376
64;21;0.9343;0.9592
65;21;0.9394;0.9468
66;21;0.9527;0.9550
67;22;0.9358;0.9400
68;22;0.9471;0.9556
69;22;0.9520;0.9502
70;22;0.9452;0.9658
71;21;0.9502;0.9630
72;21;0.9551;0.9464
73;22;0.9514;0.9568
74;22;0.9566;0.9410
75;21;0.9541;0.9554
76;22;0.9584;0.9766
77;22;0.9591;0.9670
78;22;0.9618;0.9726
79;22;0.9529;0.9290
80;22;0.9601;0.9566
81;22;0.9587;0.9450
82;22;0.9598;0.9360
83;22;0.9656;0.9646
84;22;0.9564;0.9638
85;22;0.9652;0.9578
86;22;0.9530;0.9492
