1;13;0.4336;0.5532
2;13;0.5533;0.6358
3;13;0.6237;0.7240
4;13;0.6976;0.7818
5;13;0.7669;0.8770
6;14;0.8450;0.8986
7;13;0.9022;0.9454
8;14;0.9343;0.9526
9;14;0.9544;0.9538
10;13;0.9543;0.9726
11;13;0.9669;0.9752
12;13;0.9651;0.9612
13;14;0.9637;0.9436
14;14;0.9634;0.9762
15;13;0.9714;0.9742
16;13;0.9714;0.9668
17;13;0.9724;0.9836
18;13;0.9689;0.9774
19;14;0.9752;0.9838
20;13;0.9763;0.9846
21;13;0.9720;0.9584
22;13;0.9666;0.9762
23;13;0.9793;0.9878
24;13;0.9805;0.9824
25;14;0.9731;0.9692
26;14;0.9757;0.9880
27;14;0.9858;0.9930
28;14;0.9791;0.9698
29;14;0.9684;0.9544
30;13;0.9765;0.9848
31;13;0.9834;0.9842
32;13;0.9808;0.9858
33;13;0.9807;0.9844
34;13;0.9788;0.9844
35;13;0.9773;0.9796
36;13;0.9791;0.9854
37;13;0.9815;0.9834
